num_pages_with_shareholder_proposal,Filename,Date Filed,CIK,Form Type,Company Name
3,edgar/data/1000229/0001000229-14-000039.txt,2014-03-19,1000229,DEF 14A,CORE LABORATORIES N V
0,edgar/data/1000230/0001437749-14-002406.txt,2014-02-19,1000230,DEF 14A,OPTICAL CABLE CORP
0,edgar/data/1000623/0001000623-14-000044.txt,2014-03-05,1000623,DEF 14A,SCHWEITZER MAUDUIT INTERNATIONAL INC
0,edgar/data/1000753/0001000753-14-000016.txt,2014-03-31,1000753,DEF 14A,"INSPERITY, INC."
7,edgar/data/1001039/0001206774-14-000306.txt,2014-01-24,1001039,DEF 14A,WALT DISNEY CO/
0,edgar/data/1001233/0001193125-14-093927.txt,2014-03-11,1001233,DEF 14A,SANGAMO BIOSCIENCES INC
0,edgar/data/1001258/0001193125-14-024594.txt,2014-01-28,1001258,DEF 14A,ASTA FUNDING INC
0,edgar/data/1001288/0001193125-14-097643.txt,2014-03-13,1001288,DEF 14A,LEXMARK INTERNATIONAL INC /KY/
0,edgar/data/1001838/0001104659-14-022863.txt,2014-03-26,1001838,DEF 14A,SOUTHERN COPPER CORP/
0,edgar/data/1002037/0001437749-14-001069.txt,2014-01-27,1002037,DEF 14A,"LEARNING TREE INTERNATIONAL, INC."
15,edgar/data/1002910/0001193125-14-093616.txt,2014-03-11,1002910,DEF 14A,AMEREN CORP
1,edgar/data/1003239/0001193125-14-056981.txt,2014-02-18,1003239,DEF 14A,SEASONS SERIES TRUST
9,edgar/data/1004155/0001193125-14-103399.txt,2014-03-18,1004155,DEF 14A,AGL RESOURCES INC
0,edgar/data/1004702/0001193125-14-114126.txt,2014-03-25,1004702,DEF 14A,OCEANFIRST FINANCIAL CORP
2,edgar/data/1004784/0001193125-14-060982.txt,2014-02-21,1004784,DEF 14A,TRANSAMERICA PARTNERS FUNDS GROUP II
0,edgar/data/10048/0000899681-14-000028.txt,2014-01-16,10048,DEF 14A,BARNWELL INDUSTRIES INC
0,edgar/data/1005699/0001178913-14-000984.txt,2014-03-19,1005699,DEF 14A,MAGICJACK VOCALTEC LTD
1,edgar/data/1006415/0001104659-14-003522.txt,2014-01-22,1006415,DEF 14A,HARTFORD MUTUAL FUNDS INC/CT
0,edgar/data/1007019/0001354488-14-000910.txt,2014-02-27,1007019,DEF 14A,COFFEE HOLDING CO INC
1,edgar/data/1007273/0001387131-14-000787.txt,2014-03-07,1007273,DEF 14A,BANK OF SOUTH CAROLINA CORP
2,edgar/data/1008654/0001193125-14-121118.txt,2014-03-28,1008654,DEF 14A,TUPPERWARE BRANDS CORP
0,edgar/data/1009626/0001193125-14-064992.txt,2014-02-24,1009626,DEF 14A,BROCADE COMMUNICATIONS SYSTEMS INC
2,edgar/data/1013238/0001193125-14-121743.txt,2014-03-28,1013238,DEF 14A,ARADIGM CORP
0,edgar/data/1013272/0000946275-14-000070.txt,2014-03-21,1013272,DEF 14A,NORWOOD FINANCIAL CORP
10,edgar/data/101382/0001193125-14-094954.txt,2014-03-12,101382,DEF 14A,UMB FINANCIAL CORP
0,edgar/data/1013934/0001213900-14-001720.txt,2014-03-25,1013934,DEF 14A,STRAYER EDUCATION INC
3,edgar/data/1014111/0001193125-14-116745.txt,2014-03-26,1014111,DEF 14A,IMATION CORP
0,edgar/data/1014507/0001571049-14-000179.txt,2014-01-27,1014507,DEF 14A,"SIRONA DENTAL SYSTEMS, INC."
0,edgar/data/1014739/0001144204-14-019540.txt,2014-03-31,1014739,DEF 14A,"BioScrip, Inc."
0,edgar/data/1015593/0000908834-14-000153.txt,2014-03-18,1015593,DEF 14A,RIVER VALLEY BANCORP
0,edgar/data/1015780/0001193125-14-113320.txt,2014-03-25,1015780,DEF 14A,E TRADE FINANCIAL Corp
