num_pages_with_shareholder_proposal,Filename,Date Filed,CIK,Form Type,Company Name,pattern_type,occurrence_begin,occurrence_end,diversity
7,edgar/data/1001039/0001206774-14-000306.txt,2014-01-24,1001039,DEF 14A,WALT DISNEY CO/,With resolved,proposal 1 proxy access legal general investment management on behalf of its client hermes equity ow,ote for this proposal. board recommendation the board recommends that you vote against this proposal,0
7,edgar/data/1001039/0001206774-14-000306.txt,2014-01-24,1001039,DEF 14A,WALT DISNEY CO/,With resolved,"proposal, and if the proposal is presented your proxy will be voted against this proposal unless you",0 items to be voted on board recommendation the board recommends that you vote against this proposal,0
15,edgar/data/1002910/0001193125-14-093616.txt,2014-03-11,1002910,DEF 14A,AMEREN CORP,With resolved,"proposal and supporting statement presented below which, following sec rules, are reproduced as rece",tors unanimously recommends a vote against item 5 . the board has carefully considered this proposal,0
9,edgar/data/1004155/0001193125-14-103399.txt,2014-03-18,1004155,DEF 14A,AGL RESOURCES INC,With resolved,proposal to any shareholder upon receipt of a written or oral request. you may contact our corporate," what does the board recommend the board of directors recommends that you vote against this proposal",0
10,edgar/data/101382/0001193125-14-094954.txt,2014-03-12,101382,DEF 14A,UMB FINANCIAL CORP,With resolved,proposal 3 advisory resolution approving the compensation paid to umb s named executive officers non,ntents of the proposal or the supporting statement. the board recommends a vote against the proposal,0
10,edgar/data/1021635/0001021635-14-000107.txt,2014-03-28,1021635,DEF 14A,OGE ENERGY CORP.,With resolved,"proposal for action at the annual meeting. in accordance with the federal proxy regulations, the fol",versight of management sought by the proponent.the fundamental objective of the shareholder proposal,0
7,edgar/data/10456/0001193125-14-109172.txt,2014-03-21,10456,DEF 14A,BAXTER INTERNATIONAL INC,With resolved,proposal for the reasons set forth in the board of directors statement that follows the proposal. in,adverse consequences for stockholders. the board recommends a vote against this shareholder proposal,0
8,edgar/data/1056239/0001193125-14-112472.txt,2014-03-24,1056239,DEF 14A,L 3 COMMUNICATIONS HOLDINGS INC,With resolved,"proposal. as explained below, the board unanimously recommends that you vote against the proposal. p",onsidered the above proposal carefully and unanimously recommends that you vote against the proposal,0
12,edgar/data/1058090/0001193125-14-118566.txt,2014-03-27,1058090,DEF 14A,CHIPOTLE MEXICAN GRILL INC,Without resolved,proposal a election of three directors 6 information regarding the board of directors 7 biographical,"the proposals the board of directors recommends a vote for each candidate for director, for proposal",0
12,edgar/data/1058090/0001193125-14-118566.txt,2014-03-27,1058090,DEF 14A,CHIPOTLE MEXICAN GRILL INC,Without resolved,"proposal, commonly known as a say on pay proposal, gives shareholders the opportunity to endorse or ","statement, are hereby approved. the board of directors recommends a vote for the say on pay proposal",0
12,edgar/data/1058090/0001193125-14-118566.txt,2014-03-27,1058090,DEF 14A,CHIPOTLE MEXICAN GRILL INC,Without resolved,"proposal, chipotle has made a deliberate decision not to do so, preferring to devote our resources i"," build shareholder value. the board of directors recommends a vote against this shareholder proposal",0
12,edgar/data/1058090/0001193125-14-118566.txt,2014-03-27,1058090,DEF 14A,CHIPOTLE MEXICAN GRILL INC,Without resolved,proposal with statements about executive compensation matters at chipotle. the proponents supporting,d and should be rejected. the board of directors recommends a vote against this shareholder proposal,0
16,edgar/data/1070412/0001193125-14-121520.txt,2014-03-28,1070412,DEF 14A,CONSOL Energy Inc,With resolved,proposal must appear personally or by proxy at the meeting to move the proposal for consideration. a," in the form and manner requested by the proposal. the board recommends a vote against this proposal",0
16,edgar/data/1070412/0001193125-14-121520.txt,2014-03-28,1070412,DEF 14A,CONSOL Energy Inc,With resolved,proposal must appear personally or by proxy at the meeting to move the proposal for consideration. a,holder proposal no. 6 the board of directors recommends that shareholders vote against this proposal,0
13,edgar/data/1137774/0001193125-14-114368.txt,2014-03-25,1137774,DEF 14A,PRUDENTIAL FINANCIAL INC,With resolved,"proposal, commonly known as a say on pay proposal, gives shareholders the opportunity to endorse or "," as explained below, our board unanimously recommends that you vote against the shareholder proposal",0
9,edgar/data/1275283/0001193125-14-109692.txt,2014-03-21,1275283,DEF 14A,REYNOLDS AMERICAN INC,With resolved,proposal. item 6: shareholder proposal on animal testing a shareholder has submitted the following p,reholders to vote for this proposal. your board of directors recommends a vote against this proposal,0
8,edgar/data/12927/0001193125-14-099755.txt,2014-03-14,12927,DEF 14A,BOEING CO,With resolved,"proposal, but without the unnecessary business risks and potentially misleading information the prop",meetings. your board recommends that you vote against item 6 for the following reasons. the proposal,0
15,edgar/data/1326160/0001047469-14-002690.txt,2014-03-20,1326160,DEF 14A,Duke Energy CORP,With resolved,"proposal. we will promptly provide you with the name, address and, to our knowledge, the number of v",ing opposing statement of the board of directors: your board recommends a vote against this proposal,0
15,edgar/data/1326160/0001047469-14-002690.txt,2014-03-20,1326160,DEF 14A,Duke Energy CORP,With resolved,"proposal. for the above reasons, the board of directors recommends a vote against this proposal. 70 ",rm. opposing statement of the board of directors: your board recommends a vote against this proposal,0
6,edgar/data/1357204/0001193125-14-116507.txt,2014-03-26,1357204,DEF 14A,"DUNKIN' BRANDS GROUP, INC.",Without resolved,proposal 2 advisory vote on named executive officer compensation the compensation discussion and ana,rrangements for our named executive officers. your board of directors recommends a vote for proposal,0
6,edgar/data/1357204/0001193125-14-116507.txt,2014-03-26,1357204,DEF 14A,"DUNKIN' BRANDS GROUP, INC.",Without resolved,proposal 3 ratification of appointment of independent registered public accounting firm the audit co,le to answer questions from the shareholders. your board of directors recommends a vote for proposal,0
6,edgar/data/1357204/0001193125-14-116507.txt,2014-03-26,1357204,DEF 14A,"DUNKIN' BRANDS GROUP, INC.",Without resolved,"proposal 4, approval of dunkin brands group, inc. annual management incentive plan. 41 table of cont",d entitled to vote at the annual meeting. your board of directors recommends a vote against proposal,0
6,edgar/data/1357204/0001193125-14-116507.txt,2014-03-26,1357204,DEF 14A,"DUNKIN' BRANDS GROUP, INC.",Without resolved,proposal. shareholder proposal product safety report whereas: nanotechnology is the science of manip,to shareholder proposal the board recommends that shareholders vote against the shareholder proposal,0
6,edgar/data/1357204/0001193125-14-116507.txt,2014-03-26,1357204,DEF 14A,"DUNKIN' BRANDS GROUP, INC.",Without resolved,proposal is unnecessary and premature. we further believe that the proposal represents the potential,"ders at this time. therefore, your board of directors recommends that you vote against this proposal",0
6,edgar/data/1357204/0001193125-14-116507.txt,2014-03-26,1357204,DEF 14A,"DUNKIN' BRANDS GROUP, INC.",Without resolved,"proposals 2, 3 and 4 for against abstain 2. to approve, on an advisory basis, the compensation paid "," management incentive plan the board of directors recommends you vote against the following proposal",0
6,edgar/data/1357204/0001193125-14-116507.txt,2014-03-26,1357204,DEF 14A,"DUNKIN' BRANDS GROUP, INC.",Without resolved,proposal requesting report on nanomaterials note: such other business as may properly come before th,"nt. the board of directors recommends a vote for the election of all director nominees, for proposal",0
10,edgar/data/1373835/0001193125-14-086204.txt,2014-03-06,1373835,DEF 14A,Spectra Energy Corp.,With resolved,"proposal and is the beneficial owner of the company s common stock as of november 19, 2013, with a m",s shareholder proposals the board of directors unanimously recommends that you vote against proposal,0
10,edgar/data/1413329/0001193125-14-117410.txt,2014-03-27,1413329,DEF 14A,Philip Morris International Inc.,With resolved,proposal set forth below. the address and shareholdings of the proponent will be furnished upon requ,w. we urge shareholders to vote for this proposal. the board recommends a vote against this proposal,0
9,edgar/data/1510295/0001193125-14-104323.txt,2014-03-18,1510295,DEF 14A,Marathon Petroleum Corp,With resolved,"proposal at the annual meeting. in accordance with applicable proxy regulations, the proposal and su",s. 26 table of contents your board of directors recommends you vote against the shareholder proposal,0
